x	u
0.000000	0.446866
0.010000	0.446866
0.010000	0.368699
0.020000	0.368699
0.020000	0.295144
0.030000	0.295144
0.030000	0.228754
0.040000	0.228754
0.040000	0.171341
0.050000	0.171341
0.050000	0.123832
0.060000	0.123832
0.060000	0.086283
0.070000	0.086283
0.070000	0.058009
0.080000	0.058009
0.080000	0.037821
0.090000	0.037821
0.090000	0.024277
0.100000	0.024277
0.100000	0.015926
0.110000	0.015926
0.110000	0.011483
0.120000	0.011483
0.120000	0.009942
0.130000	0.009942
0.130000	0.010606
0.140000	0.010606
0.140000	0.013081
0.150000	0.013081
0.150000	0.017231
0.160000	0.017231
0.160000	0.023122
0.170000	0.023122
0.170000	0.030972
0.180000	0.030972
0.180000	0.041110
0.190000	0.041110
0.190000	0.053931
0.200000	0.053931
0.200000	0.069872
0.210000	0.069872
0.210000	0.089381
0.220000	0.089381
0.220000	0.112879
0.230000	0.112879
0.230000	0.140733
0.240000	0.140733
0.240000	0.173213
0.250000	0.173213
0.250000	0.210453
0.260000	0.210453
0.260000	0.252411
0.270000	0.252411
0.270000	0.298834
0.280000	0.298834
0.280000	0.349228
0.290000	0.349228
0.290000	0.402840
0.300000	0.402840
0.300000	0.458659
0.310000	0.458659
0.310000	0.515430
0.320000	0.515430
0.320000	0.571689
0.330000	0.571689
0.330000	0.625819
0.340000	0.625819
0.340000	0.676121
0.350000	0.676121
0.350000	0.720899
0.360000	0.720899
0.360000	0.758554
0.370000	0.758554
0.370000	0.787677
0.380000	0.787677
0.380000	0.807136
0.390000	0.807136
0.390000	0.816150
0.400000	0.816150
0.400000	0.814338
0.410000	0.814338
0.410000	0.801748
0.420000	0.801748
0.420000	0.778855
0.430000	0.778855
0.430000	0.746531
0.440000	0.746531
0.440000	0.705989
0.450000	0.705989
0.450000	0.658709
0.460000	0.658709
0.460000	0.606346
0.470000	0.606346
0.470000	0.550638
0.480000	0.550638
0.480000	0.493306
0.490000	0.493306
0.490000	0.435969
0.500000	0.435969
0.500000	0.380078
0.510000	0.380078
0.510000	0.326852
0.520000	0.326852
0.520000	0.277254
0.530000	0.277254
0.530000	0.231973
0.540000	0.231973
0.540000	0.191433
0.550000	0.191433
0.550000	0.155813
0.560000	0.155813
0.560000	0.125080
0.570000	0.125080
0.570000	0.099030
0.580000	0.099030
0.580000	0.077333
0.590000	0.077333
0.590000	0.059577
0.600000	0.059577
0.600000	0.045307
0.610000	0.045307
0.610000	0.034069
0.620000	0.034069
0.620000	0.025438
0.630000	0.025438
0.630000	0.019060
0.640000	0.019060
0.640000	0.014672
0.650000	0.014672
0.650000	0.012145
0.660000	0.012145
0.660000	0.011511
0.670000	0.011511
0.670000	0.012996
0.680000	0.012996
0.680000	0.017052
0.690000	0.017052
0.690000	0.024371
0.700000	0.024371
0.700000	0.035883
0.710000	0.035883
0.710000	0.052709
0.720000	0.052709
0.720000	0.076080
0.730000	0.076080
0.730000	0.107194
0.740000	0.107194
0.740000	0.147043
0.750000	0.147043
0.750000	0.196197
0.760000	0.196197
0.760000	0.254614
0.770000	0.254614
0.770000	0.321485
0.780000	0.321485
0.780000	0.395189
0.790000	0.395189
0.790000	0.473355
0.800000	0.473355
0.800000	0.553059
0.810000	0.553059
0.810000	0.631128
0.820000	0.631128
0.820000	0.704491
0.830000	0.704491
0.830000	0.770520
0.840000	0.770520
0.840000	0.827277
0.850000	0.827277
0.850000	0.873634
0.860000	0.873634
0.860000	0.909233
0.870000	0.909233
0.870000	0.934318
0.880000	0.934318
0.880000	0.949479
0.890000	0.949479
0.890000	0.955366
0.900000	0.955366
0.900000	0.952467
0.910000	0.952467
0.910000	0.940956
0.920000	0.940956
0.920000	0.920682
0.930000	0.920682
0.930000	0.891263
0.940000	0.891263
0.940000	0.852283
0.950000	0.852283
0.950000	0.803540
0.960000	0.803540
0.960000	0.745301
0.970000	0.745301
0.970000	0.678494
0.980000	0.678494
0.980000	0.604801
0.990000	0.604801
0.990000	0.526618
1.000000	0.526618
